conglome,vivienda,hogar,age,fac500a,d544t,educ,male,raza,exper,pea,ing_lab,ing_total,ln_ing,ln_ing_lab
007292,056,22,38,256.72443,1245.0,1,1,Mestizo,21.0,PEA Ocupada,1943.8334,1943.8334,7.5724173,7.5724173
007292,056,22,30,250.548,820.0,4,0,Otros,10.0,PEA Ocupada,791.6667,860.0,6.7569323,6.6741405
007292,079,11,42,250.548,1245.0,3,0,Mestizo,24.0,PEA Ocupada,115.666664,115.666664,4.7507124,4.7507124
007292,125,11,64,207.61595,4089.0,5,0,Mestizo,40.0,PEA Ocupada,1993.75,2334.5,7.7555532,7.5977726
007292,125,11,52,207.61595,721.0,5,0,Mestizo,28.0,PEA Ocupada,917.0833,977.1666,6.8846574,6.8211985
007292,148,11,42,250.548,1030.0,4,0,Otros,20.0,PEA Ocupada,1993.75,2079.5833,7.6399226,7.5977726
007292,194,11,68,165.69847,1245.0,2,1,Otros,57.0,PEA Ocupada,531.3333,531.3333,6.2753897,6.2753897
007292,194,11,62,207.61595,1245.0,2,0,Mestizo,55.0,PEA Ocupada,139.58333,139.58333,4.9386616,4.9386616
007293,006,11,50,207.61595,1245.0,1,0,Mestizo,33.0,PEA Ocupada,1259.5834,1259.5834,7.1385365,7.1385365
007293,036,11,34,250.548,1245.0,2,0,Otros,22.0,PEA Ocupada,420.91666,420.91666,6.0424347,6.0424347
007293,051,11,18,295.82025,1245.0,4,0,Blanco,-1.0,PEA Ocupada,851.75,851.75,6.747293,6.747293
007293,081,11,73,164.29475,1245.0,0,0,Mestizo,67.0,PEA Ocupada,440.91666,440.91666,6.0888557,6.0888557
007293,096,11,64,207.61595,1245.0,1,0,Mestizo,47.0,PEA Ocupada,1052.1666,1052.1666,6.9586067,6.9586067
007293,126,11,69,165.69847,1245.0,1,1,Mestizo,52.0,PEA Ocupada,881.8333,881.8333,6.782003,6.782003
007293,126,11,31,250.548,1245.0,1,0,Mestizo,14.0,PEA Ocupada,473.0,473.0,6.1590953,6.1590953
007294,031,11,47,253.90233,1245.0,1,0,Mestizo,30.0,PEA Ocupada,101.583336,101.583336,4.6208797,4.6208797
007294,045,11,38,313.95917,1245.0,3,1,Mestizo,20.0,PEA Ocupada,863.25,863.25,6.7607045,6.7607045
007294,045,11,68,202.63968,824.0,2,1,Otros,57.0,PEA Ocupada,1819.3334,1888.0,7.5432734,7.5062256
007294,072,11,49,289.52026,1245.0,2,1,Mestizo,39.0,PEA Ocupada,979.9167,979.9167,6.8874674,6.8874674
007294,072,11,27,306.40576,1245.0,1,0,Mestizo,10.0,PEA Ocupada,1146.25,1146.25,7.044251,7.044251
007294,072,11,21,299.06424,1245.0,1,1,Mestizo,4.0,PEA Ocupada,1087.6666,1087.6666,6.99179,6.99179
007294,072,11,19,361.77112,1245.0,1,0,Mestizo,2.0,PEA Ocupada,259.0,259.0,5.556828,5.556828
007294,086,11,29,313.95917,618.0,3,1,Mestizo,9.0,PEA Ocupada,1794.3334,1845.8334,7.520686,7.4923887
007294,113,11,54,289.52026,1245.0,1,1,Mestizo,37.0,PEA Ocupada,2031.5,2031.5,7.61653,7.61653
007295,028,11,39,189.8162,1245.0,3,0,Mestizo,19.0,PEA Ocupada,140.25,140.25,4.9434266,4.9434266
007295,028,11,38,194.49548,102.0,4,1,Mestizo,20.0,PEA Ocupada,701.1667,709.6667,6.5647955,6.552746
007295,028,11,26,189.8162,1782.0,4,0,Mestizo,4.0,PEA Ocupada,1152.0834,1300.5834,7.170568,7.0493274
007295,028,11,22,185.26817,1245.0,4,1,Mestizo,0.0,PEA Ocupada,1001.8333,1001.8333,6.909587,6.909587
007295,042,11,48,179.35574,1245.0,2,1,Mestizo,36.0,PEA Ocupada,618.0833,618.0833,6.4266233,6.4266233
007295,057,11,66,124.47038,611.0,1,0,Mestizo,49.0,PEA Ocupada,968.75,1019.6667,6.9272313,6.8760066
007295,072,11,23,224.11464,1245.0,4,0,Mestizo,1.0,PEA Ocupada,851.5,851.5,6.7469993,6.7469993
007295,103,11,33,194.49548,1245.0,3,1,Otros,15.0,PEA Ocupada,1216.1666,1216.1666,7.103459,7.103459
007295,103,11,28,189.8162,1245.0,1,0,Blanco,12.0,PEA Ocupada,1302.4166,1302.4166,7.1719766,7.1719766
007295,131,11,74,125.533844,1245.0,2,1,Mestizo,63.0,PEA Ocupada,270.5,270.5,5.600272,5.600272
007295,146,11,50,179.35574,866.0,5,1,Mestizo,26.0,PEA Ocupada,2138.8333,2211.0,7.7012,7.668016
007295,146,11,20,224.11464,1141.0,4,0,Mestizo,2.0,PEA Ocupada,1272.25,1367.3334,7.220618,7.1485424
007296,006,11,67,171.39853,1245.0,1,1,Mestizo,50.0,PEA Ocupada,148.75,148.75,5.002267,5.002267
007296,006,11,56,214.75797,1245.0,1,0,Mestizo,39.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007296,006,11,30,259.1669,1245.0,1,0,Mestizo,16.0,PEA Ocupada,307.41666,307.41666,5.7282043,5.7282043
007296,006,11,20,252.95721,1245.0,1,1,Mestizo,3.0,PEA Ocupada,892.4167,892.4167,6.7939334,6.7939334
007296,006,11,31,265.5558,1245.0,1,1,Mestizo,14.0,PEA Ocupada,859.4167,859.4167,6.7562537,6.7562537
007296,006,11,28,259.1669,1245.0,1,0,Mestizo,15.0,PEA Ocupada,380.75,380.75,5.942143,5.942143
007296,006,11,30,265.5558,1245.0,1,1,Mestizo,13.0,PEA Ocupada,1052.75,1052.75,6.9591613,6.9591613
007296,006,11,18,252.95721,1245.0,1,1,Mestizo,5.0,PEA Ocupada,1413.75,1413.75,7.254001,7.254001
007296,006,11,20,305.99652,1245.0,1,0,Mestizo,5.0,PEA Ocupada,1070.0,1070.0,6.975414,6.975414
007296,082,11,82,169.94652,1245.0,0,0,Otros,76.0,PEA Ocupada,277.66666,277.66666,5.6264215,5.6264215
007296,097,11,58,244.88464,1245.0,2,1,Otros,47.0,PEA Ocupada,1238.4166,1238.4166,7.1215887,7.1215887
007296,128,11,52,214.75797,1245.0,0,0,Mestizo,46.0,PEA Ocupada,557.25,557.25,6.323014,6.323014
007296,128,11,34,265.5558,1245.0,1,1,Otros,17.0,PEA Ocupada,343.08334,343.08334,5.8379736,5.8379736
007296,128,11,33,265.5558,857.0,1,1,Otros,16.0,PEA Ocupada,842.8333,914.25,6.8181043,6.736769
007296,128,11,85,171.39853,1245.0,0,1,Otros,79.0,PEA Ocupada,201.25,201.25,5.304548,5.304548
007297,026,11,31,363.89154,1245.0,3,1,Mestizo,11.0,PEA Ocupada,591.0,591.0,6.381816,6.381816
007297,081,11,60,335.56586,1245.0,2,1,Otros,50.0,PEA Ocupada,834.5,834.5,6.726833,6.726833
007297,081,11,26,355.13684,1245.0,1,0,Mestizo,9.0,PEA Ocupada,806.75,806.75,6.6930137,6.6930137
007297,081,11,24,346.62772,1245.0,1,1,Mestizo,9.0,PEA Ocupada,589.9167,589.9167,6.3799815,6.3799815
007297,081,11,18,346.62772,1245.0,1,1,Otros,2.0,PEA Ocupada,1431.3334,1431.3334,7.2663617,7.2663617
007297,099,11,64,294.2832,1245.0,0,0,Blanco,58.0,PEA Ocupada,353.58334,353.58334,5.8681192,5.8681192
007297,099,11,20,346.62772,1245.0,1,1,Blanco,4.0,PEA Ocupada,477.5,477.5,6.1685643,6.1685643
007297,099,11,39,355.13684,1245.0,1,0,Mestizo,22.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007297,099,11,37,363.89154,1245.0,1,1,Mestizo,23.0,PEA Ocupada,365.6667,365.6667,5.9017224,5.9017224
007297,099,11,24,346.62772,1245.0,1,1,Mestizo,9.0,PEA Ocupada,901.5834,901.5834,6.8041525,6.8041525
007297,099,11,20,419.30756,1245.0,1,0,Blanco,3.0,PEA Ocupada,300.5,300.5,5.7054477,5.7054477
007297,117,11,30,355.13684,1245.0,2,0,Mestizo,18.0,PEA Ocupada,861.5,861.5,6.758675,6.758675
007298,017,11,56,338.15564,1245.0,2,1,Mestizo,45.0,PEA Ocupada,537.1667,537.1667,6.2863083,6.2863083
007298,048,11,48,338.15564,1245.0,1,1,Mestizo,31.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007298,048,11,47,296.55438,1245.0,3,0,Mestizo,27.0,PEA Ocupada,1368.3334,1368.3334,7.221349,7.221349
007298,064,11,51,338.15564,1245.0,4,1,Mestizo,29.0,PEA Ocupada,902.4167,902.4167,6.8050766,6.8050766
007298,064,11,50,296.55438,403.0,1,0,Mestizo,33.0,PEA Ocupada,1041.0834,1074.6667,6.979766,6.948017
007298,094,11,42,366.69995,1245.0,1,1,Mestizo,25.0,PEA Ocupada,794.25,794.25,6.677398,6.677398
007298,125,11,39,366.69995,1245.0,1,1,Blanco,24.0,PEA Ocupada,720.8333,720.8333,6.580408,6.580408
007298,125,11,38,357.87766,1245.0,3,0,Mestizo,16.0,PEA Ocupada,525.5833,525.5833,6.2645087,6.2645087
007299,002,11,58,236.74072,615.0,3,1,Blanco,38.0,PEA Ocupada,1187.5,1238.75,7.121858,7.0796056
007299,002,11,37,256.72443,927.0,4,1,Otros,15.0,PEA Ocupada,1705.3334,1782.5834,7.485819,7.441516
007299,016,11,66,165.69847,1245.0,2,1,Mestizo,59.0,PEA Ocupada,559.0833,559.0833,6.3262987,6.3262987
007299,016,11,63,207.61595,1245.0,2,0,Mestizo,55.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007299,044,11,46,236.74072,618.0,1,1,Blanco,29.0,PEA Ocupada,847.3333,898.8333,6.8010974,6.742094
007299,073,11,44,256.72443,1245.0,1,1,Otros,30.0,PEA Ocupada,2096.4167,2096.4167,7.647985,7.647985
007299,073,11,38,250.548,1245.0,2,0,Mestizo,26.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007299,073,11,29,250.548,1245.0,2,0,Otros,22.0,PEA Ocupada,670.0833,670.0833,6.507402,6.507402
007299,087,11,62,207.61595,1245.0,2,0,Mestizo,51.0,PEA Ocupada,144.58333,144.58333,4.973856,4.973856
007299,087,11,29,256.72443,1245.0,3,1,Mestizo,8.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007299,087,11,17,244.54485,410.0,1,1,Mestizo,0.0,PEA Ocupada,742.1667,776.3334,6.654582,6.609574
007299,087,11,29,250.548,1245.0,1,0,Mestizo,12.0,PEA Ocupada,692.6667,692.6667,6.540549,6.540549
007299,087,11,19,244.54485,1245.0,1,1,Mestizo,2.0,PEA Ocupada,692.6667,692.6667,6.540549,6.540549
007299,087,11,31,250.548,1245.0,1,0,Mestizo,14.0,PEA Ocupada,692.6667,692.6667,6.540549,6.540549
007299,115,11,49,236.74072,1245.0,1,1,Mestizo,32.0,PEA Ocupada,760.5833,760.5833,6.6340857,6.6340857
007300,051,11,62,318.08847,1245.0,1,1,Otros,48.0,PEA Ocupada,217.33333,217.33333,5.381432,5.381432
007300,051,11,47,278.95596,1245.0,1,0,Otros,33.0,PEA Ocupada,130.25,130.25,4.869456,4.869456
007300,071,11,43,336.64014,1245.0,1,0,Mestizo,29.0,PEA Ocupada,127.25,127.25,4.8461537,4.8461537
007300,111,11,52,278.95596,1245.0,2,0,Mestizo,41.0,PEA Ocupada,350.58334,350.58334,5.8595986,5.8595986
007300,111,11,34,344.93887,2649.0,1,1,Mestizo,17.0,PEA Ocupada,968.3333,1189.0833,7.080938,6.8755765
007300,111,11,33,344.93887,1245.0,1,1,Otros,16.0,PEA Ocupada,766.3333,766.3333,6.6416173,6.6416173
007300,131,11,40,344.93887,3035.0,1,1,Mestizo,23.0,PEA Ocupada,1476.9167,1729.8334,7.4557805,7.297712
007300,131,11,38,336.64014,1245.0,3,0,Mestizo,19.0,PEA Ocupada,597.0,597.0,6.391917,6.391917
007301,005,11,36,280.02515,1245.0,1,1,Otros,19.0,PEA Ocupada,1036.75,1036.75,6.943846,6.943846
007301,034,11,84,180.73755,1245.0,1,1,Mestizo,69.0,PEA Ocupada,496.16666,496.16666,6.206912,6.206912
007301,034,11,50,258.22772,1245.0,3,1,Mestizo,30.0,PEA Ocupada,215.83333,215.83333,5.3745065,5.3745065
007301,048,11,60,226.45952,1245.0,1,0,Mestizo,43.0,PEA Ocupada,1486.5834,1486.5834,7.304236,7.304236
007301,048,11,33,273.28815,1245.0,3,0,Mestizo,11.0,PEA Ocupada,843.5,843.5,6.73756,6.73756
007301,062,11,46,226.45952,1005.0,4,0,Mestizo,23.0,PEA Ocupada,2381.75,2465.5,7.8101497,7.775591
007301,118,11,57,226.45952,1245.0,2,0,Mestizo,48.0,PEA Ocupada,119.083336,119.083336,4.779824,4.779824
007301,118,11,19,266.74014,1245.0,4,1,Mestizo,1.0,PEA Ocupada,508.3333,508.3333,6.2311373,6.2311373
007301,118,11,25,280.02515,1245.0,1,1,Mestizo,8.0,PEA Ocupada,765.5,765.5,6.640529,6.640529
007302,010,11,33,201.53107,1245.0,3,0,Mestizo,11.0,PEA Ocupada,1331.5834,1331.5834,7.194124,7.194124
007302,023,12,75,133.28142,1245.0,2,1,Mestizo,64.0,PEA Ocupada,204.0,204.0,5.31812,5.31812
007302,023,22,39,206.49915,1040.0,4,1,Blanco,17.0,PEA Ocupada,1741.3334,1828.0,7.5109777,7.4624066
007302,049,11,58,166.9982,1245.0,2,0,Mestizo,49.0,PEA Ocupada,187.5,187.5,5.233779,5.233779
007302,049,11,58,190.42503,1245.0,0,1,Mestizo,52.0,PEA Ocupada,1146.25,1146.25,7.044251,7.044251
007302,062,11,58,166.9982,1245.0,1,0,Mestizo,43.0,PEA Ocupada,223.33333,223.33333,5.408665,5.408665
007302,075,12,72,133.28142,1245.0,3,1,Mestizo,52.0,PEA Ocupada,683.25,683.25,6.5268607,6.5268607
007302,113,11,44,201.53107,1245.0,1,0,Mestizo,27.0,PEA Ocupada,947.4166,947.4166,6.853739,6.853739
007302,126,12,60,166.9982,1245.0,1,0,Mestizo,43.0,PEA Ocupada,671.8333,671.8333,6.5100102,6.5100102
007302,126,12,52,166.9982,1245.0,1,0,Mestizo,35.0,PEA Ocupada,803.5833,803.5833,6.6890807,6.6890807
007303,031,11,41,242.06763,1612.0,3,0,Mestizo,21.0,PEA Ocupada,1100.8334,1235.1667,7.1189613,7.003823
007303,031,11,22,236.26765,1245.0,4,1,Otros,3.0,PEA Ocupada,597.5833,597.5833,6.392894,6.392894
007303,031,11,21,236.26765,1245.0,4,1,Otros,0.0,PEA Ocupada,247.91667,247.91667,5.5130925,5.5130925
007303,062,11,55,228.72769,1245.0,4,1,Mestizo,34.0,PEA Ocupada,1997.3334,1997.3334,7.5995684,7.5995684
